"Czas","temp_zuz"
"2022-01-29 00:00:00",1279
"2022-01-29 01:00:00",1293
"2022-01-29 01:30:00",1298
"2022-01-29 02:00:00",1293
"2022-01-29 03:00:00",1284
"2022-01-29 04:00:00",1289
"2022-01-29 05:00:00",1290
"2022-01-29 06:00:00",1294
"2022-01-29 07:00:00",1296
"2022-01-29 08:00:00",1299
"2022-01-29 09:00:00",1304
"2022-01-29 10:00:00",1308
"2022-01-29 11:00:00",1318
"2022-01-29 11:30:00",1301
"2022-01-29 12:00:00",1299
"2022-01-29 13:00:00",1297
"2022-01-29 14:00:00",1307
"2022-01-29 15:00:00",1304
"2022-01-29 16:00:00",1305
"2022-01-29 17:00:00",1302
"2022-01-29 18:00:00",1305
"2022-01-29 19:00:00",1300
"2022-01-29 20:00:00",1298
"2022-01-29 21:00:00",1304
"2022-01-29 22:00:00",1304
"2022-01-29 23:00:00",1297
"2022-01-30 00:00:00",1309
"2022-01-30 01:00:00",1307
"2022-01-30 02:00:00",1305
"2022-01-30 03:00:00",1302
"2022-01-30 04:00:00",1306
"2022-01-30 05:00:00",1302
"2022-01-30 06:00:00",1297
"2022-01-30 07:00:00",1297
"2022-01-30 08:00:00",1295
"2022-01-30 09:00:00",1298
"2022-01-30 10:00:00",1309
"2022-01-30 11:00:00",1305
"2022-01-30 12:00:00",1301
"2022-01-30 13:00:00",1292
"2022-01-30 14:00:00",1301
"2022-01-30 15:00:00",1309
"2022-01-30 16:00:00",1295
"2022-01-30 17:00:00",1297
"2022-01-30 18:00:00",1297
"2022-01-30 19:00:00",1295
"2022-01-30 20:00:00",1298
"2022-01-30 21:00:00",1292
"2022-01-30 22:00:00",1300
"2022-01-30 23:00:00",1302
"2022-01-31 00:00:00",1302
"2022-01-31 01:00:00",1300
"2022-01-31 05:00:00",1237
"2022-01-31 05:30:00",1291
"2022-01-31 06:00:00",1296
"2022-01-31 07:00:00",1299
"2022-01-31 08:00:00",1295
"2022-01-31 09:00:00",1295
"2022-01-31 10:00:00",1306
"2022-01-31 11:00:00",1290
"2022-01-31 12:00:00",1300
"2022-01-31 13:00:00",1313
"2022-01-31 14:00:00",1311
"2022-01-31 15:00:00",1296
"2022-01-31 16:00:00",1299
"2022-01-31 17:00:00",1304
"2022-01-31 18:00:00",1294
"2022-01-31 19:00:00",1300
"2022-01-31 20:00:00",1305
"2022-01-31 21:00:00",1304
"2022-01-31 22:00:00",1308
"2022-01-31 23:00:00",1309
"2022-02-01 00:00:00",1305
